arm,seed,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,base_cache_run_0,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C,0,225,neutral,0,7.054919242858887,0.938094973564148,0.9593096971511841,-0.021214723587036133,20.752077102661133,500,0.11092910915613174,0.9998878836631775
N1_halves,base_cache_run_0,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C,0,225,neutral,1,3.488133430480957,0.2744103968143463,0.4127209782600403,-0.13831058144569397,12.545119285583496,500,0.4348219335079193,0.9922605156898499
N1_halves,base_cache_run_0,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C,0,225,neutral,2,2.43440580368042,0.1713123917579651,0.3255348801612854,-0.1542224884033203,12.172066688537598,500,0.423463374376297,0.9849846363067627
N1_halves,base_cache_run_0,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C,0,225,neutral,3,2.1685702800750732,0.15817475318908691,0.3451177179813385,-0.1869429647922516,11.801129341125488,500,0.40814557671546936,0.9828118681907654
N1_halves,base_cache_run_0,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C,0,225,neutral,4,1.809119701385498,0.13362278044223785,0.33671361207962036,-0.2030908316373825,11.718660354614258,500,0.39132755994796753,0.9768815636634827
N1_halves,base_cache_run_0,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
C,0,225,math,0,6.496273517608643,0.9913621544837952,0.983864963054657,0.007497191429138184,20.83060073852539,500,0.02463260293006897,0.9999933242797852
N1_halves,base_cache_run_0,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
C,0,225,math,1,5.379701614379883,0.6743521690368652,0.4921056032180786,0.18224656581878662,15.879556655883789,500,0.151863232254982,0.9996421337127686
N1_halves,base_cache_run_0,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
C,0,225,math,2,5.251120090484619,0.4675006866455078,0.5812134742736816,-0.11371278762817383,11.30801773071289,500,0.4020271599292755,0.9970755577087402
N1_halves,base_cache_run_0,0,math,3,0.640496551990509,,0.5002747774124146,,11.696806907653809,500,,
C,0,225,math,3,4.167403697967529,0.3637826144695282,0.5002747774124146,-0.13649216294288635,11.696806907653809,500,0.4285171627998352,0.9947391152381897
N1_halves,base_cache_run_0,0,math,4,0.7286148071289062,,0.44381242990493774,,11.761890411376953,500,,
C,0,225,math,4,3.478830099105835,0.3122006058692932,0.44381242990493774,-0.13161182403564453,11.761890411376953,500,0.4350981116294861,0.9923417568206787
N1_halves,base_cache_run_1,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C,1,225,neutral,0,6.284144401550293,0.9273371696472168,0.9593096971511841,-0.031972527503967285,20.752077102661133,500,0.10139809548854828,0.9998698234558105
N1_halves,base_cache_run_1,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C,1,225,neutral,1,3.497516632080078,0.2745201289653778,0.4127209782600403,-0.13820084929466248,12.545119285583496,500,0.44363030791282654,0.9920248985290527
N1_halves,base_cache_run_1,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C,1,225,neutral,2,2.4836509227752686,0.17139415442943573,0.3255348801612854,-0.15414072573184967,12.172066688537598,500,0.4203900992870331,0.9858093857765198
N1_halves,base_cache_run_1,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C,1,225,neutral,3,2.172825813293457,0.15684351325035095,0.3451177179813385,-0.18827420473098755,11.801129341125488,500,0.4104492962360382,0.9827113151550293
N1_halves,base_cache_run_1,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C,1,225,neutral,4,1.8080819845199585,0.13292014598846436,0.33671361207962036,-0.203793466091156,11.718660354614258,500,0.38428762555122375,0.9776658415794373
N1_halves,base_cache_run_1,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
C,1,225,math,0,5.558923721313477,0.9903369545936584,0.983864963054657,0.006471991539001465,20.83060073852539,500,0.022305874153971672,0.9999919533729553
N1_halves,base_cache_run_1,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
C,1,225,math,1,5.2038469314575195,0.631229817867279,0.4921056032180786,0.13912421464920044,15.879556655883789,500,0.1615743190050125,0.9995374083518982
N1_halves,base_cache_run_1,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
C,1,225,math,2,5.141363620758057,0.4633624255657196,0.5812134742736816,-0.11785104870796204,11.30801773071289,500,0.39448466897010803,0.997078001499176
N1_halves,base_cache_run_1,0,math,3,0.640496551990509,,0.5002747774124146,,11.696806907653809,500,,
C,1,225,math,3,4.075476169586182,0.36062777042388916,0.5002747774124146,-0.1396470069885254,11.696806907653809,500,0.4246879518032074,0.9946563839912415
N1_halves,base_cache_run_1,0,math,4,0.7286148071289062,,0.44381242990493774,,11.761890411376953,500,,
C,1,225,math,4,3.429563283920288,0.3126165568828583,0.44381242990493774,-0.13119587302207947,11.761890411376953,500,0.43224528431892395,0.992341935634613
